idx_in_original_df,index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds
0,14296,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0004.flac,234400,14.65
1,14297,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0024.flac,254080,15.88
2,14298,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0028.flac,137200,8.575
3,14299,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0031.flac,70480,4.405
4,14300,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0009.flac,270640,16.915
5,14301,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0026.flac,137840,8.615
6,14302,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0005.flac,196880,12.305
7,14303,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0007.flac,262960,16.435
8,14304,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0006.flac,220320,13.77
9,14305,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0010.flac,255840,15.99
10,14306,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0014.flac,174320,10.895
11,14307,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0002.flac,186560,11.66
12,14308,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0011.flac,251520,15.72
13,14309,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0015.flac,251840,15.74
14,14310,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0016.flac,246080,15.38
15,14311,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0022.flac,201760,12.61
16,14312,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0021.flac,249040,15.565
17,14313,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0020.flac,214000,13.375
18,14314,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0017.flac,208720,13.045
19,14315,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0019.flac,244000,15.25
20,14316,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0013.flac,234320,14.645
21,14317,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0027.flac,116880,7.305
22,14318,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0000.flac,241120,15.07
23,14319,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0018.flac,236720,14.795
24,14320,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0003.flac,109040,6.815
25,14321,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0025.flac,120000,7.5
26,14322,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0001.flac,173280,10.83
27,14323,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0023.flac,158240,9.89
28,14324,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0029.flac,235119,14.6949375
29,14325,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12531/3830-12531-0012.flac,202160,12.635
30,14326,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12529/3830-12529-0004.flac,245440,15.34
31,14327,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12529/3830-12529-0002.flac,229360,14.335
32,14328,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12529/3830-12529-0003.flac,128800,8.05
33,14329,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12529/3830-12529-0005.flac,63040,3.94
34,14330,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12529/3830-12529-0001.flac,148880,9.305
35,14331,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12529/3830-12529-0000.flac,210080,13.13
36,14332,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0044.flac,237680,14.855
37,14333,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0009.flac,199760,12.485
38,14334,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0002.flac,236000,14.75
39,14335,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0004.flac,162000,10.125
40,14336,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0032.flac,224480,14.03
41,14337,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0029.flac,170480,10.655
42,14338,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0026.flac,220320,13.77
43,14339,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0014.flac,131280,8.205
44,14340,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0008.flac,231680,14.48
45,14341,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0017.flac,174640,10.915
46,14342,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0003.flac,266320,16.645
47,14343,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0010.flac,243120,15.195
48,14344,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0036.flac,242720,15.17
49,14345,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0041.flac,211520,13.22
50,14346,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0045.flac,122400,7.65
51,14347,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0001.flac,215841,13.4900625
52,14348,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0025.flac,260720,16.295
53,14349,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0006.flac,220880,13.805
54,14350,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0018.flac,224560,14.035
55,14351,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0020.flac,195360,12.21
0,14409,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/180923/3857-180923-0012.flac,252560,15.785
1,14410,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/180923/3857-180923-0015.flac,170960,10.685
2,14411,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/180923/3857-180923-0026.flac,231440,14.465
3,14412,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/180923/3857-180923-0001.flac,152960,9.56
