,level_0,index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds,id
0,59,14042,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171631/3723-171631-0030.flac,128160,8.01,14042
1,60,14043,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171631/3723-171631-0044.flac,204880,12.805,14043
2,61,14044,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0027.flac,250960,15.685,14044
3,62,14045,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0039.flac,194960,12.185,14045
4,63,14046,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0000.flac,208160,13.01,14046
5,64,14047,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0020.flac,249680,15.605,14047
6,65,14048,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0034.flac,246720,15.42,14048
7,66,14049,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0017.flac,248480,15.53,14049
8,67,14050,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0047.flac,128080,8.005,14050
9,68,14051,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0050.flac,95600,5.975,14051
10,69,14052,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0023.flac,228880,14.305,14052
11,70,14053,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0053.flac,257040,16.065,14053
12,71,14054,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0010.flac,209440,13.09,14054
13,72,14055,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0021.flac,225360,14.085,14055
14,73,14056,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0009.flac,104480,6.53,14056
15,74,14057,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0026.flac,209680,13.105,14057
16,75,14058,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0005.flac,224080,14.005,14058
17,76,14059,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0013.flac,268720,16.795,14059
18,77,14060,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0052.flac,74800,4.675,14060
19,78,14061,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0011.flac,222880,13.93,14061
20,79,14062,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0014.flac,247920,15.495,14062
21,80,14063,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0031.flac,215520,13.47,14063
22,81,14064,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0042.flac,248000,15.5,14064
23,82,14065,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0007.flac,252240,15.765,14065
24,83,14066,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0001.flac,79440,4.965,14066
25,84,14067,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0015.flac,226960,14.185,14067
26,85,14068,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0018.flac,253600,15.85,14068
27,86,14069,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0016.flac,244560,15.285,14069
28,87,14070,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0028.flac,104480,6.53,14070
29,88,14071,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0012.flac,223760,13.985,14071
30,89,14072,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0043.flac,234560,14.66,14072
31,90,14073,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0051.flac,210880,13.18,14073
32,91,14074,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0006.flac,229520,14.345,14074
33,92,14075,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0035.flac,248400,15.525,14075
34,93,14076,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0055.flac,233920,14.62,14076
35,94,14077,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0040.flac,240640,15.04,14077
36,95,14078,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0036.flac,234480,14.655,14078
37,96,14079,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0033.flac,221280,13.83,14079
38,97,14080,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0037.flac,218240,13.64,14080
39,98,14081,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0019.flac,236320,14.77,14081
40,99,14082,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0044.flac,255280,15.955,14082
41,100,14083,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0049.flac,253280,15.83,14083
42,101,14084,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0056.flac,223520,13.97,14084
43,102,14085,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0048.flac,235760,14.735,14085
44,103,14086,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0030.flac,198240,12.39,14086
45,104,14087,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0002.flac,238640,14.915,14087
46,105,14088,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0003.flac,121280,7.58,14088
47,106,14089,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0038.flac,189680,11.855,14089
48,107,14090,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0045.flac,188720,11.795,14090
49,108,14091,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0025.flac,240880,15.055,14091
50,109,14092,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0054.flac,192960,12.06,14092
51,110,14093,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0022.flac,91760,5.735,14093
52,111,14094,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0004.flac,91520,5.72,14094
53,112,14095,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0024.flac,201360,12.585,14095
54,113,14096,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0041.flac,254960,15.935,14096
55,114,14097,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0008.flac,227440,14.215,14097
56,115,14098,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0057.flac,86720,5.42,14098
57,116,14099,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0029.flac,213600,13.35,14099
58,117,14100,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0032.flac,234400,14.65,14100
59,118,14101,3723,M,train-clean-100,25.07,Kevin Lavin,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3723/171115/3723-171115-0046.flac,228240,14.265,14101
60,49,14151,3807,M,train-clean-100,22.31,Jesse Noar,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3807/4923/3807-4923-0031.flac,215840,13.49,14151
61,50,14152,3807,M,train-clean-100,22.31,Jesse Noar,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3807/4923/3807-4923-0003.flac,203040,12.69,14152
62,51,14153,3807,M,train-clean-100,22.31,Jesse Noar,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3807/4923/3807-4923-0036.flac,117680,7.355,14153
63,52,14154,3807,M,train-clean-100,22.31,Jesse Noar,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/3807/4923/3807-4923-0051.flac,223200,13.95,14154
