idx_in_original_df,index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds
56,14352,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0033.flac,74880,4.68
57,14353,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0007.flac,240720,15.045
58,14354,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0005.flac,246560,15.41
59,14355,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0035.flac,222880,13.93
60,14356,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0040.flac,168079,10.5049375
61,14357,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0021.flac,134720,8.42
62,14358,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0034.flac,251840,15.74
63,14359,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0013.flac,230320,14.395
64,14360,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0015.flac,96560,6.035
65,14361,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0043.flac,230560,14.41
66,14362,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0039.flac,179440,11.215
67,14363,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0027.flac,241360,15.085
68,14364,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0028.flac,164720,10.295
69,14365,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0024.flac,208960,13.06
70,14366,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0011.flac,227120,14.195
71,14367,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0031.flac,223200,13.95
72,14368,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0030.flac,180240,11.265
73,14369,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0012.flac,233520,14.595
74,14370,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0038.flac,224400,14.025
75,14371,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0037.flac,141760,8.86
76,14372,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0023.flac,264160,16.51
77,14373,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0000.flac,234319,14.6449375
78,14374,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0019.flac,267920,16.745
79,14375,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0042.flac,238320,14.895
80,14376,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12530/3830-12530-0016.flac,234640,14.665
81,14377,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0028.flac,256880,16.055
82,14378,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0030.flac,255600,15.975
83,14379,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0000.flac,223760,13.985
84,14380,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0025.flac,237680,14.855
85,14381,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0011.flac,237120,14.82
86,14382,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0010.flac,200560,12.535
87,14383,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0027.flac,228960,14.31
88,14384,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0001.flac,196960,12.31
89,14385,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0004.flac,62080,3.88
90,14386,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0031.flac,134960,8.435
91,14387,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0013.flac,255520,15.97
92,14388,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0006.flac,253440,15.84
93,14389,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0017.flac,251440,15.715
94,14390,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0008.flac,188480,11.78
95,14391,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0005.flac,251200,15.7
96,14392,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0014.flac,243520,15.22
97,14393,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0024.flac,207280,12.955
98,14394,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0020.flac,62080,3.88
99,14395,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0029.flac,269680,16.855
100,14396,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0007.flac,266480,16.655
101,14397,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0002.flac,129760,8.11
102,14398,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0032.flac,75680,4.73
103,14399,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0012.flac,187360,11.71
104,14400,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0026.flac,198560,12.41
105,14401,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0022.flac,153520,9.595
106,14402,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0009.flac,165040,10.315
107,14403,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0015.flac,227360,14.21
108,14404,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0033.flac,158800,9.925
109,14405,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0018.flac,60720,3.795
110,14406,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0016.flac,248160,15.51
111,14407,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0021.flac,236880,14.805
112,14408,3830,M,train-clean-100,24.01,rymd80,LibriSpeech/train-clean-100/3830/12535/3830-12535-0023.flac,242640,15.165
55,14464,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0026.flac,181760,11.36
56,14465,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0006.flac,264320,16.52
57,14466,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0023.flac,229920,14.37
58,14467,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0029.flac,237520,14.845
59,14468,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0000.flac,257200,16.075
60,14469,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0031.flac,204720,12.795
61,14470,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0021.flac,191040,11.94
62,14471,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0020.flac,241680,15.105
63,14472,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182317/3857-182317-0015.flac,250640,15.665
64,14473,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182315/3857-182315-0023.flac,263840,16.49
65,14474,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182315/3857-182315-0025.flac,124000,7.75
66,14475,3857,M,train-clean-100,25.17,Epistomolus,LibriSpeech/train-clean-100/3857/182315/3857-182315-0006.flac,165920,10.37
