speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0004.flac,62160,3.885
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0028.flac,85680,5.355
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0035.flac,127200,7.95
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0005.flac,81120,5.07
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0029.flac,55920,3.495
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0001.flac,57760,3.61
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0019.flac,87600,5.475
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0027.flac,109920,6.87
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0057.flac,81040,5.065
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0056.flac,57040,3.565
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0046.flac,56800,3.55
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0053.flac,67520,4.22
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0011.flac,102000,6.375
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0049.flac,132000,8.25
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0024.flac,96400,6.025
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0051.flac,50160,3.135
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0043.flac,107760,6.735
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0022.flac,74720,4.67
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0013.flac,71200,4.45
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0030.flac,90960,5.685
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0023.flac,80400,5.025
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0050.flac,89280,5.58
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0033.flac,90960,5.685
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0037.flac,69040,4.315
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0032.flac,68480,4.28
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0055.flac,63440,3.965
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0061.flac,88480,5.53
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0015.flac,86000,5.375
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0045.flac,55600,3.475
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0025.flac,70560,4.41
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0010.flac,132720,8.295
61,M,test-clean,8.08,Paul-Gabriel Wiener,LibriSpeech/test-clean/61/70968/61-70968-0008.flac,56560,3.535
